,Location (coordinates in km as measured from the southwest corner of the city),,,,Transition matrix: ith row and jth column gives p_{ij}. So row sums are 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,East-West,North-South,Bike capacity (c_i),Arrival rate (users per hr),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225
1,0.167,0.167,15,12.01611665,0.097347764,0,0.007526845,0.014660291,0.114217395,0.042598083,0.021870585,0.011228733,0.005765024,0,0,0,0,0,0,0,0.007526845,0.014660291,0.028554349,0.042598083,0.021870585,0.011228733,0.005765024,0,0,0,0,0,0,0,0.007526845,0.014660291,0.028554349,0.042598083,0.021870585,0.011228733,0.005765024,0,0,0,0,0,0,0,0,0.014660291,0.028554349,0.042598083,0.021870585,0.011228733,0.005765024,0,0,0,0,0,0,0,0,0,0.028554349,0.085196165,0.021870585,0.011228733,0.005765024,0,0,0,0,0,0,0,0,0,0,0.042598083,0.021870585,0.011228733,0.005765024,0,0,0,0,0,0,0,0,0,0,0,0.021870585,0.011228733,0.005765024,0,0,0,0,0,0,0,0,0,0,0,0,0.011228733,0.005765024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005765024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.167,0.500,15,11.20398265,0,0.090431726,0,0.006992103,0.054475025,0.026525715,0.039571717,0.020316797,0.010430991,0.00535545,0,0,0,0,0,0.006992103,0,0.006992103,0.013618756,0.026525715,0.039571717,0.020316797,0.010430991,0.00535545,0,0,0,0,0,0,0.013618756,0.006992103,0.013618756,0.026525715,0.039571717,0.020316797,0.010430991,0.00535545,0,0,0,0,0,0,0,0.026525715,0.013618756,0.026525715,0.039571717,0.020316797,0.010430991,0.00535545,0,0,0,0,0,0,0,0,0.039571717,0.05305143,0.039571717,0.020316797,0.010430991,0.00535545,0,0,0,0,0,0,0,0,0,0.020316797,0.039571717,0.020316797,0.010430991,0.00535545,0,0,0,0,0,0,0,0,0,0,0.010430991,0.020316797,0.010430991,0.00535545,0,0,0,0,0,0,0,0,0,0,0,0.00535545,0.010430991,0.00535545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00535545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.167,0.833,15,11.00166897,0.006205888,0,0.080263292,0,0.024823552,0.01208742,0.023543078,0.035122146,0.018032311,0.009258097,0.004753266,0,0,0,0,0.01208742,0.006205888,0,0.006205888,0.01208742,0.023543078,0.035122146,0.018032311,0.009258097,0.004753266,0,0,0,0,0,0.023543078,0.01208742,0.006205888,0.01208742,0.023543078,0.035122146,0.018032311,0.009258097,0.004753266,0,0,0,0,0,0,0.035122146,0.023543078,0.01208742,0.023543078,0.035122146,0.018032311,0.009258097,0.004753266,0,0,0,0,0,0,0,0.018032311,0.070244292,0.023543078,0.035122146,0.018032311,0.009258097,0.009506531,0,0,0,0,0,0,0,0,0.009258097,0.018032311,0.035122146,0.018032311,0.009258097,0.004753266,0,0,0,0,0,0,0,0,0,0.004753266,0.009258097,0.018032311,0.009258097,0.004753266,0,0,0,0,0,0,0,0,0,0,0,0.004753266,0.009258097,0.004753266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009506531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.167,1.167,15,11.21467059,0.011131723,0.005715217,0,0.073917242,0,0.005715217,0.011131723,0.021681635,0.032345199,0.016606579,0.008526102,0.008754893,0,0,0,0.021681635,0.011131723,0.005715217,0,0.005715217,0.011131723,0.021681635,0.032345199,0.016606579,0.008526102,0.004377447,0,0,0,0,0.032345199,0.021681635,0.011131723,0.005715217,0.011131723,0.021681635,0.032345199,0.016606579,0.008526102,0.004377447,0,0,0,0,0,0.016606579,0.032345199,0.021681635,0.011131723,0.021681635,0.032345199,0.016606579,0.008526102,0.004377447,0,0,0,0,0,0,0.008526102,0.033213158,0.032345199,0.021681635,0.032345199,0.016606579,0.017052204,0.004377447,0,0,0,0,0,0,0,0.004377447,0.008526102,0.016606579,0.032345199,0.016606579,0.008526102,0.004377447,0,0,0,0,0,0,0,0,0,0.004377447,0.008526102,0.016606579,0.008526102,0.004377447,0,0,0,0,0,0,0,0,0,0,0,0.004377447,0.008526102,0.017509787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004377447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.167,1.500,60,49.2471625,0.016240735,0.008338271,0.004281011,0,0.221472287,0,0.004281011,0.008338271,0.016240735,0.02422833,0.012439239,0.012773037,0.003278948,0,0,0.02422833,0.016240735,0.008338271,0.004281011,0,0.004281011,0.008338271,0.016240735,0.02422833,0.012439239,0.006386518,0.003278948,0,0,0,0.012439239,0.02422833,0.016240735,0.008338271,0.004281011,0.008338271,0.016240735,0.02422833,0.012439239,0.006386518,0.003278948,0,0,0,0,0.006386518,0.012439239,0.02422833,0.016240735,0.008338271,0.016240735,0.02422833,0.012439239,0.006386518,0.003278948,0,0,0,0,0,0.003278948,0.012773037,0.012439239,0.02422833,0.016240735,0.02422833,0.024878478,0.006386518,0.013115791,0,0,0,0,0,0,0,0.003278948,0.006386518,0.012439239,0.02422833,0.012439239,0.006386518,0.003278948,0,0,0,0,0,0,0,0,0,0.003278948,0.006386518,0.012439239,0.006386518,0.003278948,0,0,0,0,0,0,0,0,0,0,0,0.003278948,0.025546073,0.003278948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003278948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.167,1.833,15,12.26375804,0.026973053,0.018080578,0.009282878,0.004765989,0,0.061640484,0,0.004765989,0.009282878,0.018080578,0.026973053,0.027696855,0.00711002,0.003650406,0,0.013848427,0.026973053,0.018080578,0.009282878,0.004765989,0,0.004765989,0.009282878,0.018080578,0.026973053,0.013848427,0.00711002,0.007300812,0,0,0.00711002,0.013848427,0.026973053,0.018080578,0.009282878,0.004765989,0.009282878,0.018080578,0.026973053,0.013848427,0.00711002,0.003650406,0,0,0,0.003650406,0.00711002,0.013848427,0.026973053,0.018080578,0.009282878,0.018080578,0.026973053,0.013848427,0.00711002,0.003650406,0,0,0,0,0,0.007300812,0.00711002,0.013848427,0.026973053,0.018080578,0.053946107,0.013848427,0.028440079,0.003650406,0,0,0,0,0,0,0,0.003650406,0.00711002,0.013848427,0.026973053,0.013848427,0.00711002,0.003650406,0,0,0,0,0,0,0,0,0,0.003650406,0.00711002,0.013848427,0.00711002,0.003650406,0,0,0,0,0,0,0,0,0,0,0,0.014601623,0.00711002,0.003650406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003650406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.167,2.167,15,12.81114282,0.013115748,0.025545988,0.017123988,0.008791749,0.018055337,0,0.058379267,0,0.004513834,0.008791749,0.017123988,0.051091976,0.013115748,0.006733849,0.003457274,0.006733849,0.013115748,0.025545988,0.017123988,0.008791749,0.004513834,0,0.004513834,0.008791749,0.017123988,0.025545988,0.013115748,0.013467699,0.003457274,0,0.003457274,0.006733849,0.013115748,0.025545988,0.017123988,0.008791749,0.004513834,0.008791749,0.017123988,0.025545988,0.013115748,0.006733849,0.003457274,0,0,0,0.003457274,0.006733849,0.013115748,0.025545988,0.017123988,0.008791749,0.017123988,0.025545988,0.013115748,0.006733849,0.003457274,0,0,0,0,0,0.003457274,0.006733849,0.013115748,0.025545988,0.034247976,0.025545988,0.052462991,0.006733849,0.003457274,0,0,0,0,0,0,0,0.003457274,0.006733849,0.013115748,0.025545988,0.013115748,0.006733849,0.006914547,0,0,0,0,0,0,0,0,0,0.003457274,0.006733849,0.013115748,0.006733849,0.003457274,0,0,0,0,0,0,0,0,0,0,0,0.003457274,0.006733849,0.003457274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003457274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.167,2.500,15,12.95663108,0.006313871,0.012297741,0.02395273,0.016055995,0.03297369,0.004232314,0,0.054738254,0,0.004232314,0.008243423,0.03211199,0.02395273,0.012297741,0.006313871,0.003241649,0.006313871,0.012297741,0.02395273,0.016055995,0.008243423,0.004232314,0,0.004232314,0.008243423,0.016055995,0.02395273,0.024595483,0.006313871,0.003241649,0,0.003241649,0.006313871,0.012297741,0.02395273,0.016055995,0.008243423,0.004232314,0.008243423,0.016055995,0.02395273,0.012297741,0.006313871,0.003241649,0,0,0,0.003241649,0.006313871,0.012297741,0.02395273,0.016055995,0.008243423,0.016055995,0.02395273,0.012297741,0.006313871,0.003241649,0,0,0,0,0,0.003241649,0.006313871,0.012297741,0.047905459,0.016055995,0.095810918,0.012297741,0.006313871,0.003241649,0,0,0,0,0,0,0,0.003241649,0.006313871,0.012297741,0.02395273,0.012297741,0.012627742,0.003241649,0,0,0,0,0,0,0,0,0,0.003241649,0.006313871,0.012297741,0.006313871,0.003241649,0,0,0,0,0,0,0,0,0,0,0,0.003241649,0.006313871,0.003241649,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003241649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.167,2.833,15,12.04358652,0.003237344,0.006305485,0.012281409,0.023920917,0.064138682,0.008232474,0.004226693,0,0.054665555,0,0.004226693,0.016464949,0.01603467,0.023920917,0.012281409,0,0.003237344,0.006305485,0.012281409,0.023920917,0.01603467,0.008232474,0.004226693,0,0.004226693,0.008232474,0.01603467,0.047841835,0.012281409,0.006305485,0,0,0.003237344,0.006305485,0.012281409,0.023920917,0.01603467,0.008232474,0.004226693,0.008232474,0.01603467,0.023920917,0.012281409,0.006305485,0.003237344,0,0,0,0.003237344,0.006305485,0.012281409,0.023920917,0.01603467,0.008232474,0.01603467,0.023920917,0.012281409,0.006305485,0.003237344,0,0,0,0,0,0.003237344,0.006305485,0.024562817,0.023920917,0.064138682,0.023920917,0.012281409,0.006305485,0.003237344,0,0,0,0,0,0,0,0.003237344,0.006305485,0.012281409,0.023920917,0.024562817,0.006305485,0.012949377,0,0,0,0,0,0,0,0,0,0.003237344,0.006305485,0.012281409,0.006305485,0.003237344,0,0,0,0,0,0,0,0,0,0,0,0.003237344,0.006305485,0.003237344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003237344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
